,Unnamed: 0,property_type,place_name,state_name,lat-lon,price,price_aprox_usd,surface_total_in_m2,surface_covered_in_m2,price_per_m2,expenses,state_code,place_code,property_type_code
299,4353,house,Capital Federal,Capital Federal,,1100000.0,1100000.0,1743.0,389.0,2827.763496143959,,0,12,2
300,4529,apartment,Centro / Microcentro,Capital Federal,"-34.6030353261,-58.376682844",72500.0,72500.0,35.0,35.0,2071.428571428572,,0,43,1
301,4530,PH,Liniers,Capital Federal,"-34.6463591184,-58.5155755016",127000.0,127000.0,99.0,54.0,2351.851851851852,,0,44,0
302,4537,apartment,Villa Crespo,Capital Federal,"-34.6024297,-58.4298648",144500.0,144500.0,60.0,54.0,2675.925925925926,,0,17,1
303,4538,apartment,Caballito,Capital Federal,"-34.6097156,-58.4433275",224500.0,224500.0,119.0,94.0,2388.2978723404253,,0,9,1
304,4539,apartment,Almagro,Capital Federal,"-34.6024297,-58.4298648",144500.0,144500.0,60.0,54.0,2675.925925925926,,0,11,1
305,4605,apartment,Balvanera,Capital Federal,"-34.6136992,-58.3897597",78000.0,78000.0,37.0,37.0,2108.108108108108,,0,8,1
306,4643,apartment,Caballito,Capital Federal,"-34.6209278,-58.4458736",270000.0,270000.0,160.0,145.0,1862.0689655172407,,0,9,1
307,4651,apartment,Parque Avellaneda,Capital Federal,"-34.647382,-58.4772734",90000.0,90000.0,59.0,59.0,1525.4237288135596,,0,33,1
308,4655,PH,Parque Avellaneda,Capital Federal,"-34.647382,-58.4772734",90000.0,90000.0,59.0,59.0,1525.4237288135596,,0,33,0
309,4656,PH,Flores,Capital Federal,"-34.6447229,-58.4687972",90000.0,90000.0,59.0,59.0,1525.4237288135596,,0,4,0
310,4657,apartment,Flores,Capital Federal,"-34.6447229,-58.4687972",90000.0,90000.0,59.0,59.0,1525.4237288135596,,0,4,1
311,4659,apartment,Recoleta,Capital Federal,"-34.5874429,-58.397175854",143500.0,143500.0,38.0,38.0,3776.315789473684,,0,15,1
312,4661,apartment,Puerto Madero,Capital Federal,"-34.6148204,-58.3620553",440000.0,440000.0,90.0,86.0,5116.279069767442,,0,7,1
313,4663,apartment,Palermo,Capital Federal,"-34.5855574,-58.4099159",1400000.0,1400000.0,300.0,270.0,5185.185185185185,,0,3,1
314,4664,apartment,Puerto Madero,Capital Federal,"-34.6142544948,-58.3606966635",1370000.0,1370000.0,191.0,185.0,7405.405405405405,,0,7,1
315,4668,apartment,Recoleta,Capital Federal,"-34.595187,-58.3973188",235000.0,235000.0,89.0,81.0,2901.2345679012346,,0,15,1
316,4671,store,Palermo Hollywood,Capital Federal,,618000.0,618000.0,240.0,210.0,2942.857142857143,,0,23,3
317,4680,apartment,Caballito,Capital Federal,"-34.6076183,-58.4468311",168000.0,168000.0,85.0,85.0,1976.470588235294,,0,9,1
318,4681,apartment,Almagro,Capital Federal,"-34.5977307532,-58.4248032963",172960.0,172960.0,75.0,65.0,2660.923076923077,,0,11,1
319,4683,apartment,Tribunales,Capital Federal,"-34.6024368908,-58.3910891826",71900.0,71900.0,35.0,32.0,2246875.0,1700.0,0,45,1
320,4809,apartment,Capital Federal,Capital Federal,,445000.0,445000.0,177.0,135.0,3296.2962962962956,,0,12,1
321,4826,apartment,Puerto Madero,Capital Federal,"-34.6212342,-58.3609246",460000.0,460000.0,82.0,72.0,6388.8888888888905,5400.0,0,7,1
322,4828,apartment,Once,Capital Federal,"-34.6059647,-58.3975048",100000.0,100000.0,70.0,70.0,1428.5714285714291,,0,46,1
323,4829,apartment,Palermo,Capital Federal,"-34.5802991,-58.4355947",480000.0,480000.0,188.0,143.0,3356.643356643357,8000.0,0,3,1
324,4830,apartment,Palermo Hollywood,Capital Federal,"-34.5802991,-58.4355947",480000.0,480000.0,188.0,143.0,3356.643356643357,8000.0,0,23,1
325,4831,apartment,Colegiales,Capital Federal,"-34.5802991,-58.4355947",480000.0,480000.0,188.0,143.0,3356.643356643357,8000.0,0,20,1
326,4834,apartment,Barrio Norte,Capital Federal,"-34.5968806,-58.3841842",135000.0,135000.0,76.0,71.0,1901.4084507042248,,0,22,1
327,4835,apartment,Barracas,Capital Federal,"-34.6283938,-58.3775674",135000.0,135000.0,146.0,146.0,924.6575342465753,,0,14,1
328,4836,PH,San Telmo,Capital Federal,"-34.6287428,-58.3707239",220000.0,220000.0,170.0,170.0,1294.1176470588236,,0,30,0
329,4837,apartment,Barracas,Capital Federal,"-34.6332336,-58.374271",100000.0,100000.0,40.0,40.0,2500.0,,0,14,1
330,4838,apartment,Barracas,Capital Federal,"-34.6412593,-58.3740881",290000.0,290000.0,120.0,120.0,2416.6666666666665,,0,14,1
331,4839,store,Barracas,Capital Federal,"-34.630948,-58.3766276",220000.0,220000.0,72.0,72.0,3055.555555555556,,0,14,3
