property_type,place_name,state_name,lat-lon,price,price_aprox_usd,surface_total_in_m2,surface_covered_in_m2,price_per_m2,expenses
apartment,Puerto Madero,Capital Federal,"-34.6179151,-58.3617661",350000.0,350000.0,54.0,50.0,7000.0,
apartment,Agronom�a,Capital Federal,"-34.5924699,-58.4944042",140000.0,140000.0,56.0,56.0,2500.0,
PH,Villa Pueyrred�n,Capital Federal,"-34.5807783,-58.5058262",198000.0,198000.0,116.0,68.0,2911.7647058823527,
apartment,Caballito,Capital Federal,"-34.6098063,-58.4547167",91000.0,91000.0,42.0,37.0,2459.45945945946,
apartment,Coghlan,Capital Federal,"-34.561509,-58.4688221",96000.0,96000.0,39.0,34.0,2823.529411764706,
apartment,Palermo,Capital Federal,"-34.5902428799,-58.4364018732",179000.0,179000.0,70.0,61.0,2934.426229508197,
apartment,Almagro,Capital Federal,"-34.6096938,-58.4198185",210000.0,210000.0,77.0,72.0,2916.666666666666,
apartment,Caballito,Capital Federal,"-34.6040507,-58.4324956",355000.0,355000.0,200.0,178.0,1994.3820224719104,
apartment,Parque Centenario,Capital Federal,"-34.6040507,-58.4324956",355000.0,355000.0,200.0,178.0,1994.3820224719104,
apartment,Puerto Madero,Capital Federal,"-34.6179151,-58.3617661",350000.0,350000.0,54.0,50.0,7000.0,
apartment,Puerto Madero,Capital Federal,"-34.6179151,-58.3617661",330000.0,330000.0,54.0,50.0,6600.0,
apartment,San Telmo,Capital Federal,"-34.6266753824,-58.3726656889",108356.0,108356.0,41.0,36.0,3009.888888888889,
apartment,Almagro,Capital Federal,"-34.6176909,-58.4228255",120000.0,120000.0,56.0,47.0,2553.1914893617013,
apartment,Monserrat,Capital Federal,"-34.6130871,-58.3813599",120000.0,120000.0,60.0,60.0,2000.0,
apartment,Recoleta,Capital Federal,"-34.590333,-58.3864771",690000.0,690000.0,235.0,235.0,2936.170212765957,
house,Floresta,Capital Federal,"-34.6338327,-58.4926895",280000.0,280000.0,200.0,100.0,2800.0,
apartment,Belgrano,Capital Federal,"-34.5747882,-58.4637685",520000.0,520000.0,150.0,130.0,4000.0,
apartment,Recoleta,Capital Federal,"-34.5910354,-58.4006232",378000.0,378000.0,140.0,136.0,2779.4117647058824,
apartment,Flores,Capital Federal,"-34.6182635,-58.467458",120000.0,120000.0,120.0,50.0,2400.0,
apartment,Boca,Capital Federal,"-34.633761,-58.360234",140000.0,140000.0,83.0,74.0,1891.891891891892,
house,Capital Federal,Capital Federal,,245000.0,245000.0,160.0,135.0,1814.8148148148148,
house,Capital Federal,Capital Federal,,209000.0,209000.0,297.0,140.0,1492.857142857143,
house,Capital Federal,Capital Federal,,340000.0,340000.0,547.0,200.0,1700.0,
house,Capital Federal,Capital Federal,,500000.0,500000.0,1050.0,280.0,1785.7142857142858,
house,Capital Federal,Capital Federal,,620000.0,620000.0,879.0,287.0,2160.2787456445994,
store,San Telmo,Capital Federal,"-34.6244702,-58.3711742",164000.0,164000.0,75.0,75.0,2186.6666666666665,
store,San Telmo,Capital Federal,"-34.6211839,-58.3731163",210000.0,210000.0,79.0,79.0,2658.227848101266,
PH,Mataderos,Capital Federal,"-34.6506036,-58.4961457",245000.0,245000.0,326.0,160.0,1531.25,
apartment,Caballito,Capital Federal,"-34.6209278,-58.4458736",65500.0,65500.0,28.0,25.0,2620.0,
PH,Mataderos,Capital Federal,"-34.6569204,-58.4897843",165000.0,165000.0,150.0,150.0,1100.0,
house,Parque Avellaneda,Capital Federal,"-34.6460548,-58.4911219",160000.0,160000.0,191.0,166.0,963.8554216867468,
apartment,Boca,Capital Federal,"-34.6344961,-58.3631337",53000.0,53000.0,33.0,31.0,1709.6774193548388,
apartment,Coghlan,Capital Federal,"-34.5615082,-58.4688228",214000.0,214000.0,104.0,80.0,2675.0,
apartment,Palermo,Capital Federal,"-34.5711496,-58.4232966",310000.0,310000.0,106.0,100.0,3100.0,
apartment,Recoleta,Capital Federal,"-34.5955984,-58.4127129",167000.0,167000.0,43.0,43.0,3883.720930232558,
apartment,San Telmo,Capital Federal,"-34.6211839,-58.3731163",94000.0,94000.0,55.0,55.0,1709.090909090909,
store,Barrio Norte,Capital Federal,"-34.594538,-58.3962794",600000.0,600000.0,210.0,210.0,2857.142857142857,
apartment,Boca,Capital Federal,"-34.6344961,-58.3631337",94000.0,94000.0,55.0,55.0,1709.090909090909,
apartment,Barracas,Capital Federal,"-34.634537,-58.3591752",94000.0,94000.0,55.0,55.0,1709.090909090909,
apartment,Recoleta,Capital Federal,"-34.5895459,-58.3973636",105000.0,105000.0,28.0,28.0,3750.0,
apartment,Recoleta,Capital Federal,"-34.5955984,-58.4127129",130000.0,130000.0,37.0,37.0,3513.5135135135133,
apartment,Recoleta,Capital Federal,"-34.5955984,-58.4127129",235000.0,235000.0,61.0,61.0,3852.4590163934417,
apartment,Palermo,Capital Federal,"-34.5927419,-58.406147",155000.0,155000.0,43.0,37.0,4189.189189189189,
apartment,Palermo,Capital Federal,"-34.5927419,-58.406147",245000.0,245000.0,75.0,51.0,4803.921568627451,
apartment,Almagro,Capital Federal,"-34.5978120648,-58.4255965334",78490.0,78490.0,38.0,32.0,2452.8125,
apartment,Colegiales,Capital Federal,"-34.5849243283,-58.4522777509",98000.0,98000.0,31.0,31.0,3161.2903225806454,
PH,Belgrano,Capital Federal,"-34.5666711,-58.4720061",152000.0,152000.0,52.0,52.0,2923.0769230769233,1800.0
PH,Belgrano,Capital Federal,"-34.5666711,-58.4720061",152000.0,152000.0,52.0,52.0,2923.0769230769233,1800.0
PH,Belgrano,Capital Federal,"-34.5666225,-58.4721291",152000.0,152000.0,52.0,52.0,2923.0769230769233,1800.0
PH,Coghlan,Capital Federal,"-34.5666643,-58.471989",152000.0,152000.0,52.0,52.0,2923.0769230769233,1800.0
PH,Coghlan,Capital Federal,"-34.5666643,-58.471989",152000.0,152000.0,52.0,52.0,2923.0769230769233,1800.0
apartment,San Cristobal,Capital Federal,"-34.62395,-58.3959922",115000.0,115000.0,70.0,65.0,1769.2307692307693,2500.0
apartment,Barrio Norte,Capital Federal,"-34.5993216,-58.3944644",100000.0,100000.0,29.0,29.0,3448.2758620689656,1600.0
apartment,Colegiales,Capital Federal,"-34.5708514,-58.4487631",185000.0,185000.0,53.0,49.0,3775.510204081633,1300.0
apartment,Flores,Capital Federal,"-34.6284062566,-58.4659506445",100000.0,100000.0,50.0,45.0,2222.222222222222,
apartment,Flores,Capital Federal,"-34.6284062566,-58.4659506445",105000.0,105000.0,50.0,45.0,2333.333333333333,
apartment,Barrio Norte,Capital Federal,,290000.0,290000.0,104.0,102.0,2843.137254901961,7000.0
apartment,Flores,Capital Federal,"-34.6271856,-58.481557",85000.0,85000.0,51.0,51.0,1666.666666666667,
PH,Almagro,Capital Federal,"-34.6159137,-58.4158587",289000.0,289000.0,228.0,167.0,1730.5389221556884,
PH,Almagro,Capital Federal,"-34.6159137,-58.4158587",289000.0,289000.0,228.0,167.0,1730.5389221556884,
PH,Almagro,Capital Federal,"-34.6159137,-58.4158587",289000.0,289000.0,228.0,167.0,1730.5389221556884,
PH,Boedo,Capital Federal,"-34.6159137,-58.4158587",289000.0,289000.0,228.0,167.0,1730.5389221556884,
